1,2,26.846
3,4,10.259
5,6,3.714
7,8,3.186
9,10,3.494
11,12,16.499
9,13,2.571
14,4,3.834
15,16,3.466
3,17,100.474
18,19,3.253
17,20,4.668
7,21,3.302
22,23,18.837
24,25,5.707
26,27,8.741
28,29,2.826
30,31,19.146
28,32,4.222
33,23,12.637
34,35,5.695
36,37,5.261
38,39,4.765
40,41,21.036
42,43,3.395
44,27,11.994
45,46,9.319
31,47,14.095
48,3,6.521
49,25,14.776
50,29,52.958
8,50,22.72
51,52,6.022
53,54,4.176
55,56,4.246
9,31,50.495
57,41,2.478
28,58,19.82
24,57,12.736
59,60,9.617
40,30,3.053
23,61,11.583
62,63,9.666
62,64,4.58
65,53,4.059
66,27,6.656
67,68,6.164
69,44,2.383
70,71,6.596
72,70,2.627
1,73,7.795
74,59,2.928
75,1,17.568
76,70,4.911
77,1,1.823
78,9,10.733
72,56,5.1
9,16,48.102
79,80,7.293
76,81,13.382
82,83,9.94
84,80,11.076
38,85,10.333
81,86,2.987
87,12,6.729
75,2,4.39
88,89,7.367
34,39,3.358
73,25,7.621
34,71,2.743
38,90,4.191
31,91,32.807
92,93,18.019
94,44,4.071
3,86,35.086
95,96,4.931
15,29,11.829
97,20,5.139
98,59,6.941
78,50,13.722
81,99,20.735
100,31,16.354
101,102,3.463
51,92,8.471
103,24,5.0
72,57,5.168
104,105,4.033
9,26,2.661
23,91,16.719
54,40,4.809
72,106,4.19
104,107,3.345
108,3,94.802
31,105,6.799
109,50,13.741
80,68,9.659
110,50,10.022
38,71,3.333
32,111,3.236
112,50,21.685
113,28,1.982
114,70,4.484
51,57,3.149
115,116,3.876
62,117,3.987
118,5,15.14
82,119,14.812
40,21,12.615
66,68,8.631
108,120,5.613
42,121,4.862
122,50,6.589
123,121,4.922
124,99,3.447
115,68,5.718
125,50,13.412
30,61,3.237
79,82,7.332
126,5,2.848
36,27,6.965
53,41,6.494
51,59,9.65
127,86,9.539
5,128,10.817
7,50,93.741
32,52,6.887
31,49,6.869
106,12,2.516
5,115,5.461
129,23,2.59
3,130,19.515
38,131,11.264
132,13,7.55
33,133,4.813
62,54,7.8
134,126,3.098
14,1,17.453
135,14,4.935
28,107,97.991
24,80,6.533
136,1,6.359
72,68,21.036
3,137,18.178
59,138,3.603
31,139,5.051
140,82,3.732
5,141,7.854
44,90,55.283
23,44,21.691
130,50,20.039
79,44,2.142
3,33,41.846
32,91,7.385
40,107,14.627
94,56,19.755
142,76,4.788
101,50,12.125
143,56,2.421
5,46,23.927
144,70,5.938
33,106,2.476
145,121,16.81
146,129,4.507
62,38,5.076
97,55,3.848
74,21,6.461
147,55,2.898
36,57,9.158
148,149,5.527
5,27,17.045
44,67,5.93
31,150,15.473
75,43,3.392
14,50,17.797
115,107,2.969
3,112,21.03
39,29,5.929
2,44,3.032
151,152,4.228
107,81,96.325
110,44,2.808
9,73,4.688
28,7,19.871
28,24,7.518
80,70,3.067
97,81,4.819
153,107,2.768
5,154,3.377
94,95,4.518
123,155,10.925
34,3,84.924
59,37,8.006
156,3,20.147
157,1,21.28
121,4,7.893
100,66,3.748
44,86,2.865
129,13,3.193
158,159,6.006
77,160,2.864
9,28,12.7
64,47,4.01
54,129,5.033
161,162,6.682
163,153,4.282
3,85,10.495
147,40,4.673
3,95,5.127
164,91,2.762
121,68,10.33
28,129,10.078
26,44,43.18
7,44,8.548
165,56,4.076
166,167,6.322
9,168,3.461
95,162,5.01
111,169,8.91
50,99,34.784
125,18,14.474
51,41,5.304
168,169,4.21
7,131,6.676
1,129,2.166
108,116,7.017
26,25,18.218
151,57,2.875
31,115,8.492
14,68,9.393
166,38,13.778
59,101,7.678
31,170,5.29
171,120,8.981
28,17,11.342
172,23,13.635
154,147,3.763
59,41,16.524
125,173,2.997
31,174,6.782
175,124,5.974
154,81,6.452
45,107,7.369
113,34,4.368
17,69,4.635
31,161,16.172
85,131,10.805
157,176,16.801
92,72,14.212
134,31,49.41
45,50,23.319
166,54,3.346
50,43,48.071
111,23,27.3
177,37,3.896
28,178,13.37
68,119,19.141
79,29,3.503
38,160,6.497
51,98,3.256
41,91,5.171
179,68,43.832
51,125,3.796
147,41,39.039
3,81,33.801
169,29,5.207
43,87,8.334
68,13,2.033
103,68,4.599
97,3,8.559
166,104,6.26
180,61,3.586
81,167,8.227
28,144,3.909
90,124,5.083
181,41,4.244
34,33,10.69
33,73,3.289
100,182,3.837
1,93,6.298
135,72,4.443
73,41,9.229
82,71,2.496
128,57,5.261
183,50,40.041
3,40,59.181
97,25,10.168
184,185,6.425
31,83,3.785
45,68,15.88
173,5,7.987
1,5,3.683
65,41,5.793
100,71,13.646
186,36,3.322
186,5,2.949
38,1,4.337
113,23,2.101
150,50,10.697
3,184,19.169
110,59,8.036
90,80,3.305
154,4,3.078
51,62,12.892
23,111,3.522
121,119,4.694
161,84,6.109
59,42,32.36
51,47,7.79
31,41,65.114
181,31,5.391
28,88,9.364
61,164,7.761
41,63,3.918
9,38,3.498
72,169,8.693
9,187,8.519
31,159,4.99
33,82,7.339
30,147,4.442
81,61,11.866
3,153,67.667
97,131,4.847
139,61,7.125
40,152,8.543
1,188,1.597
16,101,4.14
171,1,15.625
111,68,10.382
41,71,3.703
9,120,9.122
145,106,3.41
127,68,4.126
17,116,5.744
3,80,20.529
108,128,4.948
148,31,4.47
56,90,3.226
111,153,11.403
119,12,3.894
79,28,5.737
5,189,6.212
5,124,26.755
34,9,19.821
62,66,3.349
190,68,4.063
188,71,40.246
166,23,7.115
19,32,4.38
62,116,13.339
165,1,6.95
36,191,6.495
7,192,3.941
55,87,5.119
26,1,22.489
166,99,2.695
115,12,2.965
181,63,5.675
106,107,4.274
134,190,5.702
193,23,11.518
193,91,8.5
134,61,7.37
194,102,3.586
3,152,9.142
186,7,21.764
88,59,3.731
135,85,9.442
67,93,22.343
95,1,4.49
47,195,4.129
31,70,38.913
3,196,17.403
197,83,3.655
141,25,7.825
34,119,9.605
153,1,40.714
9,72,99.652
1,169,27.132
31,46,2.574
106,41,2.356
51,42,4.193
65,81,2.717
31,198,15.917
92,174,4.866
70,99,3.166
31,179,11.484
171,70,18.072
77,47,23.0
3,155,2.893
199,50,10.803
190,99,4.734
62,99,7.227
200,28,3.107
190,126,4.953
134,23,22.778
24,201,4.269
110,69,8.764
62,150,2.338
105,188,20.467
66,8,15.94
202,50,9.73
169,56,11.349
72,203,5.756
175,169,5.42
78,31,2.847
65,38,3.554
44,204,3.588
51,31,40.584
40,205,5.64
28,131,19.024
50,152,9.427
54,176,14.293
124,55,3.498
69,185,4.81
206,116,3.6
5,119,11.592
3,25,166.115
100,176,6.803
69,12,3.825
26,36,6.541
207,177,5.669
44,208,19.471
3,209,15.71
40,208,7.818
151,66,11.861
31,111,40.919
106,126,8.068
1,148,2.776
209,195,7.502
180,207,3.797
28,169,30.076
153,66,8.358
49,141,4.072
51,70,6.271
7,126,5.394
34,151,7.972
64,1,3.011
38,53,3.639
42,37,13.88
67,169,4.633
100,38,2.911
110,90,3.255
191,190,7.092
179,5,6.081
36,80,5.076
154,145,8.775
139,44,7.661
163,44,6.587
77,197,5.261
181,199,6.643
210,99,4.437
54,80,3.659
73,162,4.997
32,39,4.408
134,211,3.043
121,152,6.621
97,75,5.783
3,187,33.042
53,196,5.911
77,95,4.204
124,41,3.291
151,37,60.983
163,3,3.92
61,188,6.478
147,19,3.377
59,82,4.845
49,36,11.569
17,13,2.915
62,182,4.739
53,99,9.154
16,6,12.547
193,19,5.195
138,25,4.499
41,29,5.859
62,41,18.935
75,15,5.103
32,50,8.308
69,79,3.838
43,12,6.98
103,34,5.339
65,73,3.8
16,212,10.028
154,41,11.696
134,145,7.345
10,188,10.472
117,207,3.675
90,213,5.354
7,32,10.198
75,90,3.763
34,214,4.121
28,40,10.167
1,141,13.205
62,215,3.333
66,196,4.404
82,21,7.347
67,3,2.193
41,99,10.806
177,55,4.65
28,191,6.657
27,106,3.06
139,5,18.405
33,145,6.021
107,13,2.687
5,35,4.939
175,68,4.405
90,41,8.256
40,58,4.227
6,12,12.024
28,56,2.551
26,2,7.223
3,160,4.146
160,50,4.268
20,201,3.789
142,121,4.135
8,126,3.862
12,187,19.641
6,68,7.214
18,5,10.877
61,82,4.658
28,59,21.245
44,64,6.01
147,202,4.757
137,41,6.921
216,199,2.6
202,208,3.806
166,71,2.663
216,61,3.533
171,59,18.889
28,68,55.256
7,117,5.136
77,80,3.558
28,159,7.914
103,28,5.773
40,111,6.657
59,90,4.65
139,115,4.326
74,41,6.379
31,177,19.301
1,68,188.566
42,83,5.377
125,203,2.846
33,139,3.981
36,23,3.37
1,176,3.088
55,41,3.729
1,217,8.937
92,31,13.544
28,43,2.473
15,1,4.434
92,165,4.537
28,216,4.569
126,41,6.543
210,44,5.216
82,179,6.169
53,90,3.79
157,57,3.823
44,2,12.637
44,164,7.416
