Wishing all the brave men and women who have served our country a very happy #VeteransDay! 
Just attended the incredible @BlueAngels Homecoming Air Show on gorgeous day in #Pensacola #Florida #sayfie   via @
Maduro regime wont be able to restructure debt without U.S. sanction waivers &amp; there wont be any waivers #Venezuela  
Happy 242nd birthday to @USMC! #MarineCorpsBirthday 
Be strong &amp; steadfast;have no fear or dread of them for it is the LORDyour Godwho marches with you... Deuteronomy 31:6
On this #VeteransDay2017 this @ESPN Homecoming Highlight Reel is worth watching again. 
Weeks later the situation in #PuertoRico is not substantially better than it was 5 days after #HurricaneMaria  
I support doubling the child tax credit to give hardworking families a much-needed tax break. Do you? Sign now &gt;&gt;  
Senate #TaxCut plan a solid opening offer. #ChildTaxCredit not where it needs to be yetbut I am optimistic we will get it to right place
I am proposing we ensure working parents get meaningful tax relief by doubling the per child tax credit. Sign now &gt;&gt;  
#America can compete with anyone.But not if #China is allowed to break rulessteal corporate secrets &amp; block our companies from exports.
#China govt steals &amp; cheats as part of plan to surpass America &amp; become sole global superpower. #ThatMustChange  
VERY confident Trump administration will continue to take action against the Maduro regime in response to this &amp; other abuses. #Venezuela
#Venezuela illegitimate Constituent Assembly imposes censorship of media. Maduro regime a Castro style dictatorship 
The quiet words of the wise are better heededthan the shout of a ruler of fools. Ecclesiastes 9:17
@CLINTHREED: #Cuba directive was to limit entities from doing business with the Cuban military. We won't stop.   @marcorubio statement i…
President Xi’s further consolidation of power in a one-party communist state was not a political victory.  It was a tragedy for human rights advocates reformers and thousands of political prisoners. Chinese Govt must be challenged to abide by int’l commitments &amp; rule of law.
If you are insulted for the name of Christ blessed are you for the Spirit of glory and of God rests upon you. 1 Peter 4:14
.@FrancisSuarez will be a great Mayor for the #305 #Miami  A young vibrant Mayor for a young vibrant city. #Sayfie 
Miami voters please go to the polls today and vote for @FrancisSuarez for Mayor! #MiamiElections 
Virginia: Remember to get out and vote for @EdWGillespie &amp; GOP ticket today. Polls are open until 7pm  #VAGov 
Do not say: How is it that former times were better than these? For it is not out of wisdom that you ask about this. Ecclesiastes 7:10
Virginia votes tomorrow! Make your plan to vote today by visiting  #VAGov
The false witness who utters liesand the one who sows discord among kindred. Proverbs 6:19
@JohnCornyn: 
ICYMI: Tax Reform Should Help American Families.  #TeamMarco  
We pray for the Sutherland Springs community in this difficult time.  So incredibly thankful to first responders.  #SutherlandSpringsTexas
....They will become dust under the soles of your feeton the day when I take action says the LORD of hosts. Malachi 3:21
“But we call the arrogant blessed;for evildoers not only prosper but even test God and escape.” Malachi 3:15 1/2
If you live in City of #Miami please vote on Tuesday for @FrancisSuarez for Mayor. He will do a great job! #Sayfie
House bill a good start.BUT w/o larger #ChildTaxCredit a new baby turns $1.2k tax cut for family of 4 into tax hike! 
.@NicolasMaduro tries to restructure debt but no sanctions waivers for U.S. firms holding much of that debt  via
@CLINTHREED: .@marcorubio &amp; @SenMikeLee statement on House tax plan. 
@EdWGillespie: Thank you to my friend @marcorubio for speaking at our rally in Loudoun County this week. I am ready to get to work for A…
Amen! @Nikki Haley reminds @UN they don’t have power over U.S. law &amp; therefore no power over U.S. embargo on Castro” 
House #TaxReform plan is only starting point.But $600 #ChildTaxCredit increase doesn’t achieve our &amp; @potus goal of helping working families
Very proud of @nikkihaley standing tall &amp; aloneexcept for #Israel to condemn Castro regime at the U.N. yesterday. 
How #Venezuela Fell Victim to ‘Clear Manipulation’ in Election. Reason why @NicolasMaduro regime is illegitimate 
The LORD is my shepherd; there is nothing I lack. Psalm 23:1
Blessed are you when they insult you and persecute you and utter every kind of evil against you [falsely] because of me. Matthew 5:11
My thoughts and prayers are with the victims in New York. Grateful for our brave first responders.
@IvankaTrump: We're working to make tax cuts &amp; the expanded Child Tax Credit a reality for American families. The time is now! #TaxRefor…
One who pays heed to the wind will never sowand one who watches the clouds will never reap. Ecclesiastes 11:4
@CLINTHREED: .@marcorubio: “No matter who you are or how your name is pronounced @EdWGillespie will work for you.” #TeamRubio #VaGov h…
@EdWGillespie: Thank you @marcorubio for being our special guest star at tonight’s  “Get Out The Vote” Rally in Sterling! 
@CLINTHREED: .@marcorubio was in No. Virginia tonight for @EdWGillespie and the @gop team #TeamMarco #GOTV 
Proud to be in Loudoun County tonight to support @EdWGillespie. He will be a governor for ALL Virginians. #VaGov 
I stand with Ed Gillespie for Governor because I know Ed will fight for our conservative values. Will you join me?  
If rulers listen to lying wordstheir servants all become wicked. Proverbs 29:12
The wicked flee though none pursue; but the justlike a lionare confident. Proverbs 28:1
You are my refuge and shield; in your word I hope. Psalms 119:114
These aggressive moves against #Kurds in #Iraq orchestrated by #Iran makes them stronger at the expense of U.S.  
Excited to be working with @IvankaTrump and members of the House and Senate to ensure an expanded #ChildTaxCredit is part of tax reform. 
I commend @POTUS for declaring the #opioidcrisis a public health emergency. Too many in #Florida have fallen victim to this epidemic.
Tax reform must help working families not just people who can afford lobbyists. 
The incompetent regime of @NicolasMaduro is on the verge of defaulting on bond debt. #Venezuela deserves better.  
Twitter Facebook &amp; YouTube have shamefully become tools of #China communist party by silencing dissident 
Whoever meddles in the quarrel of anotheris one who grabs a passing dog by the ears. Proverbs 26:17
In many states child care is even more expensive than college. An expanded #childtaxcredit will help families struggling to make ends meet. 
