.@POTUS in #Danang &amp; no mention of human rights - Sad
It’s a privilege beyond measure to live in a country served so well by selfless patriots. God bless our veterans &amp; protect them #VeteransDay 
Pleased to see #TaxReform is moving through the regular order w/ hearings markup debate &amp; amendments. I've long believed we need to fix our burdensome tax system &amp; am reviewing the Senate bill to ensure it benefits the people of #Arizona.
The allegations against Roy Moore are deeply disturbing and disqualifying. He should immediately step aside and allow the people of Alabama to elect a candidate they can be proud of.
@SASCMajority: The full text of the Conference Report for the National Defense Authorization Act is now available: 
"Must-read by Bob Gates in @nytimes today: ""Ending #DACA Will Hurt Immigrant Troops"" "
Wonderful to see the @USNavy Ceremonial Guard rehearsing for #VeteransDay activities at the @NavyMemorial! 
My opening statement at #SASC hearing on @DeptofDefense nominations:  Watch: 
Holding #SASC hearing on @DeptofDefense nominations - watch live: 
".@washingtonpost: ""Senate and House negotiators strike defense bill deal that outspends Trump"" "
Glad to see Secretary Mattis taking seriously this important issue 
".@dcexaminer: ""House and Senate reach deal on budget cap-busting $700 billion defense bill"" "
".@starsandstripes: ""Lawmakers agree on defense bill deal featuring 2.4 percent military pay raise"" "
".@AP: ""House Senate Negotiators Agree on $700 Billion for #Pentagon"" "
Great seeing some Mississippians in the Capitol today! Generations of McCain's lived in #Mississippi &amp; I served as a flight instructor at NAS Meridian where a field is named for my grandfather. 
@seungminkim: Scoop: @SenJohnMcCain vows to reject nominees who backed torture as he votes against DOJ pick 
Very proud of @SenateCommerce's unanimous passage of #SESTA a bill that will eliminate legal protections for websites like Backpage that have knowingly &amp; recklessly facilitated online sex trafficking 
@HASCRepublicans: Chairman @MacTXPress @SenJohnMcCain complete #FY18NDAA Conference - Statement:  - Bill Summary:…
I'm very proud #SASC &amp; #HASC have completed conference on the #FY18NDAA a vitally imp't bill that will rebuild the military &amp; give our troops the resources they need. 
@SASCMajority: SASC &amp; HASC complete conference on #FY18NDAA. SASC summary available here: 
"Must-read @WSJ: ""#SouthKorea’s Bow to #Beijing"" "
"Must-read @WSJ: ""A Strategy for the Post-#ISIS #MiddleEast"" "
@ASeasonWith: Fair winds &amp; following seas.WATCH @SenJohnMcCain address Brigade of Midshipmen on #ASeasonWith @NavyFB TONIGHT 10PM ET/P…
Intro'd bipartisan bill today to reform fedl sugar prgm &amp; lower artificially high sugar costs for American consumers 
@USNatArchives: A lakeside monument commemorates the capture of @SenJohnMcCain in 1963. He was a #POW until 1973 
I'll be speaking on the Senate floor shortly on the need for a comprehensive #MiddleEast strategy - watch: 
My opening statement at #SASC hearing to consider @DeptofDefense nominees:  Watch: 
Heading to #SASC hearing to consider @DeptofDefense nominees - watch live: 
#SASC will conduct rigorous oversight of DOD investigation into failure to report to FBI conviction of #TX shooter 
.@MacTXPress &amp; I welcome @POTUS's amendment to his initial defense budget request - our full statement: 
I can't tell you how much I hate wearing this boot!  
"Must-read @washingtonpost: ""Satellite photographs reveal North Korea’s crimes against humanity"" "
"Must-read @USATODAY: ""Pass the bipartisan Alexander-Murray health care fix"" "
Praying for all impacted by horrific shooting in Sutherland Springs #TX &amp; grateful to officers &amp; 1st responders for their courageous action.
@CQnow: #PhotosoftheWeek @SenJohnMcCain and MIDN Brigade Commander  Harmel on stage at the Naval Academy in Annapolis Md. 📸 @pennstatet…
I'll be sending an early Christmas card to Jacob Thompson &amp; I hope you will too! 
Remarkable! 
Pleased the tech industry has agreed to support our bill to ensure justice for victims of sex trafficking 
@HallieJackson: You just can't beat @tombrokaw. He joined me today to talk about reuniting with his old pal @SenJohnMcCain 
".@PaysonRoundup: ""McCain Flake send letter to Forest Service on Fossil Creek"" "
Intro'd bipartisan bill today to hold #Burmese military officials accountable for atrocities against the #Rohingya 
Congrats @MeghanMcCain &amp; @bdomenech on announcing your engagement! We are so happy for you &amp; thrilled to welcome Ben to our family. 
I sat down with @tombrokaw on @TODAYshow to discuss my speech @NavalAcademy my service in #Vietnam &amp; the political turmoil in our country. 
@SASCMajority: Today at 10AM (note time change) SASC holds DOD nominations hearing for Esper Wilkie Kernan and Roberts. Tune in: 
Holding #SASC hearing on @DeptofDefense nominations - watch live: 
"@TODAYshow: WATCH: “I’ve loved my life…No one has had the wonderful life that I've had."" -@SenJohnMcCain "
@TODAYshow: WATCH: “I am the luckiest guy you will ever talk to. I promise you.” @SenJohnMcCain tells @tombrokaw 
Be sure to watch my interview with @tombrokaw on @TODAYshow @nbc this hour where we'll discuss service &amp; American leadership
I believe in Americans. We’re hopeful compassionate people who have upheld the values that have made our nation a beacon to the oppressed. 
It's always a special privilege to listen to @NavalAcademy's wonderful men's &amp; women's glee club. 
"Must-read @weeklystandard: Why Is This Law Still on the Books?"" "
"Agree w/ @AEI: ""After Canada it is time for the EU’s Magnitsky Act"" "
#NYC terror suspect should be held &amp; interrogated as an enemy combatant consistent with the Law of Armed Conflict. 
@baltimoresun: “We have to fight against propaganda and crackpot conspiracy theories” @SenJohnMcCain told @NavalAcademy audience. 
Praying for all those impacted by the tragedy in #NewYorkCity. Thanks to first responders &amp; law enforcement for their quick action.
".@capgaznews: ""John McCain at Naval Academy: 'It's time to wake up'"" "
".@wbaltv11: ""Sen. McCain returns to U.S. Naval Academy to speak with midshipmen"" "
".@rollcall: ""Photos: 50 Years After Plane Shot Down McCain Addresses Naval Academy"" "
We must see Putin's attack on our election for what it is: a campaign to weaken &amp; destabilize democracies everywhere 
Informative briefing today on @USNavy collisions at sea - #SASC will continue oversight to prevent future tragedies. 
Speaking on Senate floor soon to thank @NIH &amp; @MayoClinic for the great work they do for all cancer patients- watch: 
ICYMI: Watch my full address to the Brigade of Midshipmen @NavalAcademy last night in Annapolis MD → 
Wonderful night speaking to the impressive Brigade of Midshipmen @NavalAcademy - read my full remarks:  
Wonderful spending tonight with @RSwiftMcCain &amp; our grandson John McCain V! 
Our sailors will always know to serve this country is to serve its ideals. It is a noble cause that's worth living &amp; dying for. 
Honored to address the Brigade of Midshipmen @NavalAcademy a place that taught me lessons that have guided my life  
Deeply honored to address the Brigade of Midshipmen @NavalAcademy today. I'll never forget the lessons imparted on me during my time there. 
I believe in Americans and the American dream but it’s time we wake up. 
I'll be addressing the Brigade of Midshipmen @NavalAcademy shortly about importance of service.Be sure to tune-in: 
Tonight I'll be returning to @NavalAcademy to address the Brigade of Midshipmen. Be sure to tune-in at 7:00PM ET 
"Must-read @anneapplebaum @washingtonpost: ""#Russia is furious. That means the sanctions are working."" "
Privileged to honor the 10 sailors whose lives were lost aboard USS McCain. We'll always remember their sacrifice.  
"Must-read @MaryAnastasiaOG @WSJ: ""Trump’s States Need #Nafta"" "
"Must-read @washingtonpost: ""Trump needs to say something — and do something — about the assault on the #Rohingya"" "
"Must-read @washingtonpost: ""Trump administration stalled on whether to arm #Ukraine"" "
Great stopping by @TAPSorg Kids Day in DC - thanks for all you do for America's military families 
@TAPSorg: Thanks @SenJohnMcCain for stopping by &amp; supporting our TAPS families of fallen #military at @WIHS Kids Day event! 📸@AldenCorr…
@CQnow: #PhotosoftheWeek @SenJohnMcCain boards the Senate subway 📸 @billclarkphotos 
"Must-read @latimes: ""Want to attack foreign election meddling? Hold internet ads to the same standard as radio &amp; TV"" "
Happy #NavyDay! Saluting America's brave sailors whose patriotism &amp; sacrifice make our country so proud. cc: @USNavy @NavalAcademy 
".@KVOA #Tucson: ""McCain asks for help for red squirrel"" "
"Must-read @SenAlexander &amp; @SenatorRounds: ""Health Care Needs a Bipartisan Fix"" "
"Must-read @NRO: ""What #NAFTA Does"" "
"Must-read @jaynordlinger @NRO: ""Vladimir Putin's Consolation Prize"" "
"Must-read @WSJ: ""#PuertoRico’s Backlog: Much-needed supplies pile up while the #JonesAct delays delivery"" "
Arizona is proud to welcome its tallest Christmas tree an 80 ft. beauty that just arrived in Anthem #Arizona! 
@dannowicki: Fifty years ago: @SenJohnMcCain shot down over North Vietnam. News of his capture makes The Arizona Republic's front page o…
Admin guidance on #Russia sanctions implementation good 1st step in holding Russia accountable for election attack 
