1,2,20.882
3,4,6.355
5,6,6.618
7,8,11.202
9,4,3.405
10,11,4.347
12,4,19.022
13,4,11.497
14,15,19.477
4,16,2.379
17,18,46.674
19,20,8.945
21,22,3.597
1,23,8.982
24,25,5.264
26,27,3.981
28,29,4.701
30,31,3.228
32,27,2.79
33,34,2.928
35,36,2.661
37,38,8.332
39,29,9.986
40,41,2.413
8,36,4.502
42,4,30.89
29,43,11.834
44,41,11.5
18,12,25.802
45,19,5.788
3,1,7.057
46,47,2.938
48,47,2.591
49,41,9.522
43,50,2.545
51,52,24.347
11,53,3.509
54,55,9.835
56,43,11.581
54,57,2.641
43,58,22.13
37,41,7.521
59,35,2.888
18,60,14.794
14,61,22.316
62,63,4.917
64,20,2.404
65,2,3.994
43,66,3.282
40,67,3.277
68,69,2.38
70,71,10.075
72,4,46.725
73,74,7.188
48,54,8.974
75,76,47.527
77,78,5.357
79,4,96.519
45,22,40.674
80,11,2.641
65,81,4.823
3,82,4.995
83,84,2.971
85,20,19.122
43,86,45.992
87,35,3.174
88,25,14.559
35,84,3.367
89,79,3.488
90,91,5.583
92,20,11.1
93,57,13.353
81,94,5.291
95,43,63.02
96,75,3.851
97,48,6.538
78,93,5.229
57,86,6.877
98,9,3.958
99,46,6.961
62,71,2.753
18,22,14.252
68,79,12.103
53,54,13.704
78,100,4.277
4,70,11.487
49,79,2.553
101,102,4.224
5,103,2.498
71,4,11.555
1,94,25.425
83,24,4.461
36,104,4.649
99,70,4.082
66,57,3.372
60,105,16.653
29,79,11.239
106,107,19.783
108,34,14.013
42,79,2.591
11,109,4.043
110,43,10.599
111,4,56.191
112,113,12.117
114,79,3.534
1,115,2.784
39,78,7.505
35,62,3.12
116,117,3.619
118,22,4.032
114,78,3.261
73,84,5.048
81,35,11.18
80,75,30.324
73,40,10.546
119,101,34.602
40,120,29.416
121,91,3.977
122,71,25.198
47,59,3.066
123,97,43.236
1,124,2.928
1,25,18.239
71,36,6.895
125,126,3.379
114,127,8.148
128,41,5.987
86,129,9.27
130,63,7.056
43,131,8.997
40,106,20.346
123,84,72.341
77,87,3.074
116,132,2.983
133,105,3.053
1,88,2.801
134,135,4.187
68,19,3.571
1,120,10.896
136,82,16.019
68,137,4.572
87,48,125.192
82,4,10.101
33,20,7.107
130,54,3.958
138,78,32.619
18,139,18.682
140,141,15.8
56,38,6.964
119,40,4.365
142,77,10.094
95,71,1.822
87,143,3.64
144,145,10.812
139,9,4.978
142,13,7.64
42,19,3.685
22,146,4.644
52,45,12.021
116,3,4.544
123,147,21.901
43,72,9.658
101,31,4.676
114,91,5.003
148,25,3.572
132,149,5.203
15,95,27.305
92,95,21.132
150,58,11.999
80,4,59.611
151,20,32.726
35,115,3.914
15,27,4.967
152,153,3.831
65,54,5.269
26,12,4.299
44,5,7.754
150,79,14.911
1,13,5.794
119,146,14.215
112,91,6.492
154,155,4.437
30,71,2.727
154,116,2.794
88,31,5.915
77,18,2.33
80,155,7.847
110,156,7.196
54,79,11.878
46,131,2.854
157,105,43.302
85,10,4.762
117,70,21.154
107,37,5.232
125,158,6.775
123,120,5.047
75,146,18.877
159,4,4.078
160,118,4.851
48,38,6.085
161,18,3.002
116,162,4.497
163,34,23.943
43,27,2.85
32,43,112.509
85,41,3.291
164,25,18.247
80,33,2.997
165,20,10.381
41,105,13.027
120,25,12.094
