RepSeanMaloney,27271
SenatorDurbin,579182
RepMikeRogersAL,23230
Sen_JoeManchin,173188
congressmanraja,12397
RepBetoORourke,194654
RepDinaTitus,31222
RepTedDeutch,55134
RepWalorski,16145
RepRatcliffe,27679
RepDevinNunes,31596
RepAndyBarr,18352
RepJohnLarson,23403
RepraulGrijalva,31482
RepMarshall,1436
repbrianfitz,8300
PeteSessions,33066
PeterRoskam,29737
RepDeSaulnier,13029
RepJohnKatko,12476
RepEsty,22015
RepClayHiggins,5115
Kilili_Sablan,557
JoaquinCastrotx,124387
Senatorhassan,141272
SenatorBaldwin,102776
SenatorWicker,70129
RepBonamici,24744
RepGrothman,5377
SenAmyKlobuchar,17374
RepSarbanes,18325
RepPaulTonko,23516
RepTimRyan,54740
RepDWStweets,12727
RepGutierrez,81393
RepCuellar,21569
SenJackReed,83543
RepSchrader,23581
SenRonJohnson,95801
RepJimmyPanetta,6760
RepMcClintock,13068
RepEdRoyce,30134
CongCulberson,16260
RepRooney,5160
RepGallagher,10256
DonaldNorcross,8547
RepRutherfordFL,3523
RepDavidYoung,13448
reploucorrea,5902
JAHimes,74934
RepGuthrie,14820
SenSanders,7953947
RepCurbelo,19721
RepSeanDuffy,34790
RepBradWenstrup,20072
reptrey,7258
RepTerriSewell,32313
RepShimkus,27938
SenatorTomUdall,159700
RepKenBuck,18991
RepErikPaulsen,20556
RepAnnaEshoo,37655
RepEspaillat,11239
RepHolding,14395
RepKClark,56325
RepEliotEngel,24833
SenDonnelly,113858
CongressmanGT,19323
RepWesterman,8509
RepGregoryMeeks,24560
BobLatta,36104
JerryMoran,85385
RepWalberg,15604
RepKinzinger,41405
RepBrianHiggins,22781
SenMikeLee,465889
RepBillFoster,42507
RepAndreCarson,35514
RepBobbyRush,15176
CathyMcMorris,47087
staceyplaskett,5644
RepJeffDuncan,55172
repcharliecrist,8300
RepGeneGreen,18048
RepBarbaraLee,194809
RepBillJohnson,33505
RepDavidScott,18655
RepDLesko,1264
SenBillNelson,367033
RepDennisRoss,19976
RepJimBanks,6726
RepBrianBabin,10618
RepDavidEPrice,25775
RepJohnDuncanJr,5976
RepFrenchHill,12540
MartinHeinrich,182598
RepDanDonovan,6923
RepAlexMooney,7477
RepBillFlores,18479
RepYvetteClarke,45893
BradSherman,39296
teammoulton,7648
RepDebDingell,35160
RepMarciaFudge,32059
Clyburn,58782
RepGosar,43307
RepGregWalden,27312
SenatorCantwell,224975
RepMoolenaar,9386
RepPeteOlson,9099
JeffFlake,672017
RepBost,8931
RepLarryBucshon,19203
RepMaloney,31077
RepHultgren,20686
RepMarkPocan,75675
NikiInTheHouse,22100
RepConorLamb,3533
RepSteveChabot,26581
RepTedBudd,6070
KeithEllison,370217
sendavidperdue,55060
MazieHirono,299507
RepJoseSerrano,25184
SenatorCardin,240755
RepDianeBlack,29561
RepRichardNeal,15787
RepJoeWilson,12502
RepSamGraves,12467
SenBobCorker,389139
repmialove,36815
SenJohnHoeven,75077
RosaDeLauro,36507
GOPLeader,189932
RepJasonLewis,9512
RepChrisStewart,17723
RepChrisSmith,21788
DorisMatsui,31997
SenSasse,133047
RepRichmond,26784
SenRobPortman,131646
NitaLowey,26361
RepLeeZeldin,55061
SenToddYoung,38614
RepRalphNorman,3100
RepJackBergman,5737
reptrentkelly,8519
reppeteaguilar,9311
SenCoryGardner,104803
RepLBR,7610
ChrisVanHollen,136736
RepAnnWagner,19143
repschneider,8028
SenatorLankford,68825
BillPascrell,34822
RepTomGraves,18805
SenShelby,74304
RepAdamSchiff,1057718
SusanWBrooks,18914
TGowdySC,932449
RepLynnJenkins,23517
PattyMurray,421510
RepZoeLofgren,36199
RepKihuen,11264
RepLoisFrankel,24197
RepAdamSmith,28575
sencortezmasto,30731
repohalleran,9163
RepJimRenacci,30538
SenRubioPress,56933
USRepKeating,13994
RepTimWalz,28403
SenBlumenthal,525929
SamsPressShop,11533
WhipHoyer,105269
SenWhitehouse,290868
FrankPallone,29668
USRepRodney,14440
JimLangevin,22108
USRepKCastor,14330
SenatorEnzi,78811
reprickallen,14151
RepLawrence,12149
SenAngusKing,201564
RepLaMalfa,15689
NydiaVelazquez,43663
SenDuckworth,511500
RepCohen,50177
SenatorBurr,136122
TomRooney,22963
SpeakerRyan,3650484
RepTomMarino,21590
RepMimiWalters,13042
RepMarkMeadows,181385
Jim_Jordan,347689
SenTedCruz,1141941
RepLouieGohmert,165174
Call_Me_Dutch,14305
repraskin,31458
RepCicilline,20422
GreggHarper,28502
repdavidkustoff,6644
SenPatRoberts,62223
RepBeatty,29885
RepMcEachin,5869
RepDavidValadao,16997
MacTXPress,13988
RepKristiNoem,27817
SenFeinstein,1247639
drnealdunnfl2,5228
JanSchakowsky,37489
JohnBoozman,72248
RepDLamborn,18173
RepChrisCollins,18653
SenJohnBarrasso,100867
RepAnthonyBrown,10463
RepRichHudson,15575
RepStephenLynch,19154
RepCartwright,10487
SenatorTester,92603
RepJoeBarton,27691
repkhandel,2082
KeithRothfus,10701
RepCleaver,36782
MikeKellyPA,12861
TomColeOK04,20783
RepHuizenga,18464
SenatorHeitkamp,113435
RepGonzalez,3295
SenKamalaHarris,532179
RepAdrianSmith,11354
SanfordBishop,17970
RepKarenBass,87295
RepHanabusa,11968
VirginiaFoxx,22298
RepTomGarrett,6223
SenBobCasey,412955
RepLipinski,12280
SenHydeSmith,3658
RepLindaSanchez,30829
RepMcKinley,29282
RepCarbajal,7085
RepScottPeters,22401
BennieGThompson,9744
DaveReichert,21100
MarshaBlackburn,66282
SenToomey,122142
JudgeTedPoe,33851
RepHuffman,27116
CongMikeSimpson,15076
RepTomReed,15839
RepScottTaylor,5002
