I will not support it. I will do everything i can to stop it. 
@francescadomin8 So grateful for your work!
I’m looking forward to meeting with you also. Thank you for your service. 
I am so grateful for all the work you all do in preventing gun violence. 
Thank you so much for having me there tonight and for the generous honor. 
Love seeing my DC team out together. Sending you all the best from Jersey. 
@SenBooker: Record numbers of people are enrolling in health care right now! Sign up for health coverage at  — de…
"@Lyncherator: .@CoryBooker joins Dems in introducing assault weapons ban: ""Mass shootings are becoming more and more commonplace in Amer…"
@SenBooker: Many TPS workers have been living and working legally in the US for decades. Ending TPS for Nicaraguans is wrong: 
@SenBooker: Thousands of people are rallying on Capitol Hill today to demand that Congress take action to protect dreamers.if you s…
@EleanorNorton: Thank you @SenBooker for being a cosponsor of our #DCStatehood bill and for raising the country’s awareness of our fight…
@SenBooker: This tax bill is an offense to basic fairness is bad economic policy and will harm New Jerseyans and millions of hardworki…
@KristenClarkeJD: Today 1.6M people in #Florida can't vote b/c of a felony conviction incl. more than 1 in 5 African Americans.  Flori…
ALERT: I'm talking with courageous airport contract workers on the front lines fighting for better wages &amp; real benefits. Their fight is our fight. I'd love to get any questions or thoughts you may have on their fight for economic justice? 
"Thank you to all who voted &amp; made their voices heard! Thanks also to all Americans who worked volunteered and got involved in the election. Pundits predicted voter turn out would be at ""historic lows"" in NJ. We proved them wrong. Let's stay vigilant and stay involved."
Advice to me as a teenager from my high school football coach after a game: “Don’t get too high on your highs or too low on your lows and always the day after get back to work.”
I do support DC statehood. Have for years. I was born in DC and feel strongly about the issue. 
@carmencusido Thank you.
@dawnjersey @NJTVNews @PhilMurphyNJ Sorry Dawn . . . I will try to tone it down next time.
Ira I sincerely wish you the best. As we both passionately advocate for our positions may we know we can be both kind and persuasive; strong and respectful. I know I can do better. May we both show the true leadership our nation needs. Take care. 
@karen_yi: .@CoryBooker says guv wins in NJ and VA are a rebuttal to @realDonaldTrump’s presidency #elections2017 
"@workhousepr: Cory Booker: ""Tonight New Jersey is America's North Star."" @CoryBooker #PhilMurphy @PhilMurphyNJ @SenateDems #asburypark #…"
@dskerritt: “Americans — not just Democrats — are getting fed up with a mean-spirited divisive denigrating kind of politics” said Demo…
@GlassmanMadison: Senator @CoryBooker speaking at @PhilMurphyNJ’s Headquarters in Asbury Park NJ. 
@benwikler: The GOP plan is to start taxing the interest payments on your student loans and stop taxing multimillion dollar inheritances…
@HRC: BREAKING: Danica Roem (@pwcdanica) makes history as #Virginia’s first out #transgender public official! #VaPol 
@ChadHGriffin: More history being made tonight as Andrea Jenkins (@andreaforward8) wins her bid for Minneapolis City Council becoming t…
@benwikler: MAINE DID IT! Medicaid for 80000 people thanks to a ballot initiative campaign that did what their GOP governor wouldn't.…
@womensmarch: Kathy Tran came to the U.S. as a refugee from Vietnam when she was an infant. Tonight she became the first Asian American…
"@CharlotteAlter: A trans woman beat the guy who introduced the bathroom bill. A gun victim's boyfriend beat a delegate with an ""A"" grade…"
@ASlavitt: BREAKING: 80000 Mariners will get Medicaid coverage.The people overturned LePage's veto.
@KristenClarkeJD: Ravi Bhalla becomes first #Sikh ever to be elected mayor of Hoboken NJ —despite racist campaign appeals. #Election2017…
@SenSchumer: What starts as a modest tax cut for the average family of four making $59000/yr becomes a tax increase after only six year…
I would tell you more about him but he has a pretty amazing girlfriend. Either way I will pass on the compliment. 
Make your voice heard this #ElectionDay - every vote counts! 
@ACLU: 🚨We are getting reports of calls to Virginia voters falsely saying that their polling place has changed. 🚨If you receive a call…
@womensmarch: Get out the vote today! Let us know if you voted. We'll be retweeting you all #ElectionDay! 
@Alyssa_Milano: Know your rights! How to report voter intimidation. #ElectionDay 
@civilrightsorg: Powerful words from people who've had their voting rights restored. Please watch and share them all. And please vote to…
@PPact: The people we elect make decisions that affect our daily lives. Go make your voice heard! #ElectionDay 
@HillaryClinton: New Jersey: you have the chance to elect @PhilMurphyNJ @SheilaOliverNJ and other great Dems today. Take it!
@PhilMurphyNJ: NJ was built with union hands &amp; we’ll rebuild it with union hands. Honored to start Election Day with the Building Trades…
@SheilaOliverNJ: I just voted to bring real change to New Jersey - @PhilMurphyNJ and I can’t do it without you. Have you voted yet? 
@PhilMurphyNJ: It's Election Day New Jersey! Polls are open from 6 am to 8 pm. 📍 Find your polling place:  htt…
@deray: FYI: #ElectionDay  Protection hotline is live from 5:30am – 9:30pm EST. Call 866-OUR-VOTE for polling locations ID laws poll…
@KristenClarkeJD: Imagine the @WomensMarch inside the polls.  Call 866-OUR-VOTE with questions and vote today! #ProtectOurVote #Election…
@jessespector: First imagine POC being granted house arrest instead of disproportionately locked up for even nonviolent crimes. 
@Shakestweetz: If you can vote but thinking about not bothering please consider all the disenfranchised voters who would love to but c…
