Senators,Percent Shared Followers,
@marcorubio and @RandPaul Shared Followers,0.202438,
@marcorubio and @SenJohnMcCain Shared Followers,0.159406,
@marcorubio and @SenTedCruz Shared Followers,0.079012,
@RandPaul and @SenJohnMcCain Shared Followers,0.147814,
@RandPaul and @SenTedCruz Shared Followers,0.18424,
@SenJohnMcCain and @SenTedCruz Shared Followers,0.058028,
,,
Average,0.138489667,
High,0.202438,(Rubio and Paul)
Low,0.058028,(McCain and Cruz)
